mean,std_val,rms,p2p,kurtosis,skew,energy,iqr,abs_mean,median,zcr,crest_factor,variance,max_abs,min_abs,label,source_file
1.0332,0.005922837,1.033217,0.038,10.36676,2.282348,53.376865,0.005,1.0332,1.033,0.0,0.97289735,3.508e-05,1.062,1.024,0,raw_data_plain.csv
1.03332,0.006426321,1.03334,0.038,6.6567345,1.8291763,53.389576,0.007,1.03332,1.0325,0.0,0.97301316,4.12976e-05,1.062,1.024,0,raw_data_plain.csv
0.9711,0.3309454,1.0259435,2.314,13.704763,-3.1311417,52.628002,0.00775,1.0079,1.032,0.04,0.58827037,0.10952485,1.744,0.35,1,raw_data_plain.csv
0.96906,0.6314053,1.1566114,2.743,0.85887325,-0.7168341,66.8875,0.54075,1.05514,1.0315,0.12,0.5783057,0.39867267,2.0,0.055,1,raw_data_plain.csv
1.1595,0.6297033,1.3194569,2.743,0.7451003,-0.80713546,87.048325,0.76375,1.20878,1.239,0.08,0.65972847,0.39652622,2.0,0.055,1,raw_data_plain.csv
1.143,0.6128654,1.2969398,3.368,4.5532565,-1.4424332,84.102646,0.69175,1.21052,1.2445,0.08,0.6484699,0.37560397,2.0,0.32,1,raw_data_plain.csv
0.90356,0.58758044,1.0778086,3.368,3.5904112,-1.0989784,58.083572,0.62775,0.97904,0.937,0.12,0.5389043,0.34525076,2.0,0.006,1,raw_data_plain.csv
0.93908,0.41185668,1.0254253,2.181,0.6299211,-0.12650414,52.57486,0.5395,0.94704,0.912,0.04,0.517369,0.16962591,1.982,0.006,1,raw_data_plain.csv
1.08706,0.5443803,1.2157506,2.716,1.0742149,-0.46498394,73.902466,0.7045,1.1157,1.094,0.02,0.6078753,0.29634988,2.0,0.235,1,raw_data_plain.csv
0.90402,0.6826977,1.1328409,2.867,0.035424728,-0.5439684,64.16642,0.9975,0.99638,1.0245,0.16,0.56642044,0.46607617,2.0,0.012,1,raw_data_plain.csv
0.81744,0.67960584,1.0630486,2.867,-0.5343318,-0.31656417,56.503613,1.053,0.90852,0.8655,0.16,0.5315243,0.4618641,2.0,0.012,1,raw_data_plain.csv
1.015,0.6393187,1.1995639,2.471,-0.71990275,-0.352456,71.94767,0.93975,1.04772,1.089,0.08,0.59978193,0.40872845,2.0,0.029,1,raw_data_plain.csv
0.92842,0.64386296,1.1298332,2.749,-0.13530259,-0.529371,63.82616,0.96625,0.99302,1.0365,0.1,0.5649166,0.41455948,2.0,0.04,1,raw_data_plain.csv
0.97056,0.62652034,1.1552118,2.749,0.282113,-0.7165666,66.72572,0.73125,1.03808,1.032,0.12,0.5776059,0.39252773,2.0,0.186,1,raw_data_plain.csv
1.09524,0.41997355,1.1729997,2.207,0.7682763,-0.25717026,68.796425,0.503,1.10352,1.029,0.04,0.58649987,0.17637779,2.0,0.207,1,raw_data_plain.csv
0.88184,0.5042854,1.0158472,2.477,2.0455441,-1.1187423,51.59728,0.535,0.93924,0.9425,0.12,0.58821493,0.25430378,1.727,0.116,1,raw_data_plain.csv
0.8867,0.48770297,1.0119739,2.477,2.6597784,-1.3856176,51.20455,0.41,0.9441,0.9955,0.12,0.58597213,0.23785417,1.727,0.116,1,raw_data_plain.csv
1.05158,0.3975368,1.1242135,2.173,1.3522396,-0.55798864,63.192802,0.3565,1.0585,1.0465,0.04,0.5621067,0.15803552,2.0,0.102,1,raw_data_plain.csv
1.01536,0.66821766,1.2155125,2.824,0.25709802,-0.6822384,73.873535,0.816,1.09036,1.057,0.2,0.60775626,0.44651484,2.0,0.09,1,raw_data_plain.csv
0.99476,0.8692201,1.3210189,3.347,0.4106636,-0.90850043,87.25455,1.09025,1.18472,1.04,0.28,0.66050947,0.75554353,2.0,0.064,2,raw_data_plain.csv
0.96012,0.87192774,1.2969536,3.347,0.31649873,-0.92849225,84.10442,0.97275,1.16736,1.1065,0.32,0.6484768,0.760258,2.0,0.064,2,raw_data_plain.csv
